gene_id	gene_type	gene_name
ENSG00000243485	lncRNA	MIR1302-2HG
ENSG00000237613	lncRNA	FAM138A
ENSG00000186092	protein_coding	OR4F5
ENSG00000238009	lncRNA	AL627309.1
ENSG00000239945	lncRNA	AL627309.3
ENSG00000239906	lncRNA	AL627309.2
ENSG00000241860	lncRNA	AL627309.5
ENSG00000241599	lncRNA	AL627309.4
ENSG00000286448	lncRNA	AP006222.2
ENSG00000236601	lncRNA	AL732372.1
ENSG00000284733	protein_coding	OR4F29
ENSG00000235146	lncRNA	AC114498.1
ENSG00000284662	protein_coding	OR4F16
ENSG00000229905	lncRNA	AL669831.2
ENSG00000237491	lncRNA	LINC01409
ENSG00000177757	lncRNA	FAM87B
ENSG00000228794	lncRNA	LINC01128
ENSG00000225880	lncRNA	LINC00115
ENSG00000230368	lncRNA	FAM41C
ENSG00000272438	lncRNA	AL645608.6
ENSG00000230699	lncRNA	AL645608.2
ENSG00000241180	lncRNA	AL645608.4
ENSG00000223764	lncRNA	LINC02593
ENSG00000187634	protein_coding	SAMD11
ENSG00000188976	protein_coding	NOC2L
ENSG00000187961	protein_coding	KLHL17
ENSG00000187583	protein_coding	PLEKHN1
ENSG00000187642	protein_coding	PERM1
ENSG00000272512	lncRNA	AL645608.7
ENSG00000188290	protein_coding	HES4
ENSG00000187608	protein_coding	ISG15
ENSG00000224969	lncRNA	AL645608.1
ENSG00000188157	protein_coding	AGRN
ENSG00000242590	lncRNA	AL645608.5
ENSG00000273443	lncRNA	AL645608.8
ENSG00000237330	protein_coding	RNF223
ENSG00000131591	protein_coding	C1orf159
ENSG00000285812	lncRNA	AL390719.3
ENSG00000223823	lncRNA	LINC01342
ENSG00000272141	lncRNA	AL390719.2
ENSG00000205231	lncRNA	TTLL10-AS1
ENSG00000162571	protein_coding	TTLL10
ENSG00000186891	protein_coding	TNFRSF18
ENSG00000186827	protein_coding	TNFRSF4
ENSG00000078808	protein_coding	SDF4
ENSG00000176022	protein_coding	B3GALT6
ENSG00000184163	protein_coding	C1QTNF12
ENSG00000260179	lncRNA	AL162741.1
ENSG00000160087	protein_coding	UBE2J2
ENSG00000230415	lncRNA	LINC01786
ENSG00000162572	protein_coding	SCNN1D
