gene_id	gene_type	gene_name
ENSMUSG00000051951	protein_coding	Xkr4
ENSMUSG00000089699	lncRNA	Gm1992
ENSMUSG00000102331	lncRNA	Gm19938
ENSMUSG00000102343	lncRNA	Gm37381
ENSMUSG00000025900	protein_coding	Rp1
ENSMUSG00000025902	protein_coding	Sox17
ENSMUSG00000104238	lncRNA	Gm37587
ENSMUSG00000104328	lncRNA	Gm37323
ENSMUSG00000033845	protein_coding	Mrpl15
ENSMUSG00000025903	protein_coding	Lypla1
ENSMUSG00000033813	protein_coding	Tcea1
ENSMUSG00000002459	protein_coding	Rgs20
ENSMUSG00000085623	lncRNA	Gm16041
ENSMUSG00000033793	protein_coding	Atp6v1h
ENSMUSG00000025905	protein_coding	Oprk1
ENSMUSG00000033774	protein_coding	Npbwr1
ENSMUSG00000025907	protein_coding	Rb1cc1
ENSMUSG00000090031	lncRNA	4732440D04Rik
ENSMUSG00000087247	protein_coding	Alkal1
ENSMUSG00000033740	protein_coding	St18
ENSMUSG00000051285	protein_coding	Pcmtd1
ENSMUSG00000097797	lncRNA	Gm26901
ENSMUSG00000103067	lncRNA	Gm30414
ENSMUSG00000025909	protein_coding	Sntg1
ENSMUSG00000061024	protein_coding	Rrs1
ENSMUSG00000025911	protein_coding	Adhfe1
ENSMUSG00000079671	lncRNA	2610203C22Rik
ENSMUSG00000067879	protein_coding	Vxn
ENSMUSG00000099827	lncRNA	Gm29520
ENSMUSG00000025912	protein_coding	Mybl1
ENSMUSG00000045210	protein_coding	Vcpip1
ENSMUSG00000097893	lncRNA	1700034P13Rik
ENSMUSG00000025915	protein_coding	Sgk3
ENSMUSG00000046101	protein_coding	Mcmdc2
ENSMUSG00000098234	lncRNA	Snhg6
ENSMUSG00000099032	protein_coding	Tcf24
ENSMUSG00000025916	protein_coding	Ppp1r42
ENSMUSG00000087199	lncRNA	Gm15818
ENSMUSG00000025917	protein_coding	Cops5
ENSMUSG00000056763	protein_coding	Cspp1
ENSMUSG00000067851	protein_coding	Arfgef1
ENSMUSG00000042501	protein_coding	Cpa6
ENSMUSG00000048960	protein_coding	Prex2
ENSMUSG00000057715	protein_coding	A830018L16Rik
ENSMUSG00000097171	lncRNA	Gm17644
ENSMUSG00000101314	lncRNA	Gm29663
ENSMUSG00000016918	protein_coding	Sulf1
ENSMUSG00000025938	protein_coding	Slco5a1
ENSMUSG00000099498	lncRNA	Gm29283
ENSMUSG00000042414	protein_coding	Prdm14
ENSMUSG00000005886	protein_coding	Ncoa2
ENSMUSG00000101476	lncRNA	Gm29570
ENSMUSG00000025935	protein_coding	Tram1
ENSMUSG00000025937	protein_coding	Lactb2
ENSMUSG00000067813	protein_coding	Xkr9
ENSMUSG00000025932	protein_coding	Eya1
ENSMUSG00000054493	lncRNA	Gm9947
ENSMUSG00000025930	protein_coding	Msc
ENSMUSG00000032769	protein_coding	Trpa1
ENSMUSG00000092083	protein_coding	Kcnb2
ENSMUSG00000025925	protein_coding	Terf1
ENSMUSG00000032719	protein_coding	Sbspon
ENSMUSG00000067795	protein_coding	4930444P10Rik
ENSMUSG00000043716	protein_coding	Rpl7
ENSMUSG00000025921	protein_coding	Rdh10
ENSMUSG00000100868	lncRNA	Gm28095
ENSMUSG00000025920	protein_coding	Stau2
ENSMUSG00000089982	lncRNA	Gm7568
ENSMUSG00000025939	protein_coding	Ube2w
ENSMUSG00000079658	protein_coding	Eloc
ENSMUSG00000097744	lncRNA	D030040B21Rik
ENSMUSG00000025940	protein_coding	Tmem70
ENSMUSG00000025779	protein_coding	Ly96
ENSMUSG00000101640	lncRNA	Gm28376
ENSMUSG00000042686	protein_coding	Jph1
ENSMUSG00000100110	lncRNA	Gm28783
ENSMUSG00000025777	protein_coding	Gdap1
ENSMUSG00000099899	lncRNA	Gm28784
ENSMUSG00000067780	protein_coding	Pi15
ENSMUSG00000100053	lncRNA	Gm28154
ENSMUSG00000085125	lncRNA	Gm16070
ENSMUSG00000025776	protein_coding	Crispld1
ENSMUSG00000099895	lncRNA	Gm28153
ENSMUSG00000109887	lncRNA	Gm28756
ENSMUSG00000025774	protein_coding	Crisp4
ENSMUSG00000073735	protein_coding	Defb18
ENSMUSG00000067773	protein_coding	Defb41
ENSMUSG00000089787	lncRNA	Gm15825
ENSMUSG00000042596	protein_coding	Tfap2d
ENSMUSG00000025927	protein_coding	Tfap2b
ENSMUSG00000100538	lncRNA	Gm28340
ENSMUSG00000043760	protein_coding	Pkhd1
ENSMUSG00000089914	lncRNA	4930486I03Rik
ENSMUSG00000099906	lncRNA	Gm28653
ENSMUSG00000025929	protein_coding	Il17a
ENSMUSG00000041872	protein_coding	Il17f
ENSMUSG00000041859	protein_coding	Mcm3
ENSMUSG00000102121	lncRNA	Gm28065
ENSMUSG00000097934	lncRNA	6720483E21Rik
ENSMUSG00000025931	protein_coding	Paqr8
ENSMUSG00000041809	protein_coding	Efhc1
ENSMUSG00000041779	protein_coding	Tram2
ENSMUSG00000099971	lncRNA	Gm28287
ENSMUSG00000025933	protein_coding	Tmem14a
ENSMUSG00000025934	protein_coding	Gsta3
ENSMUSG00000099343	lncRNA	Gm28836
ENSMUSG00000067750	protein_coding	Khdc1a
ENSMUSG00000041722	protein_coding	Khdc1c
ENSMUSG00000085079	protein_coding	Khdc1b
ENSMUSG00000028033	protein_coding	Kcnq5
ENSMUSG00000041670	protein_coding	Rims1
ENSMUSG00000101227	lncRNA	Gm29506
ENSMUSG00000073730	protein_coding	4933415F23Rik
ENSMUSG00000097970	lncRNA	Gm27028
ENSMUSG00000100775	lncRNA	Gm29107
ENSMUSG00000026158	protein_coding	Ogfrl1
ENSMUSG00000099503	lncRNA	Gm28822
ENSMUSG00000026156	protein_coding	B3gat2
ENSMUSG00000026155	protein_coding	Smap1
ENSMUSG00000026154	protein_coding	Sdhaf4
ENSMUSG00000026153	protein_coding	Fam135a
ENSMUSG00000026147	protein_coding	Col9a1
ENSMUSG00000026141	protein_coding	Col19a1
ENSMUSG00000073725	protein_coding	Lmbrd1
ENSMUSG00000100483	lncRNA	Gm28237
ENSMUSG00000099392	lncRNA	Gm29414
ENSMUSG00000033569	protein_coding	Adgrb3
ENSMUSG00000073722	protein_coding	4931408C20Rik
ENSMUSG00000101514	lncRNA	Gm5524
ENSMUSG00000048411	protein_coding	Gm597
ENSMUSG00000053185	lncRNA	Gm9898
ENSMUSG00000048874	protein_coding	Phf3
ENSMUSG00000026064	protein_coding	Ptp4a1
ENSMUSG00000117310	protein_coding	Ptp4a1.1
ENSMUSG00000117091	protein_coding	Gm5698
ENSMUSG00000086727	protein_coding	4931428L18Rik
ENSMUSG00000100237	lncRNA	Gm28644
ENSMUSG00000100910	lncRNA	Gm29128
ENSMUSG00000050217	protein_coding	Lgsn
ENSMUSG00000026063	protein_coding	Pih1d3
